Frequency,Aria,Composer,Language,Opera,Voice Type,Artist Category
45,"Ach, ich fühl's",Mozart,German,Die Zauberflöte,Soprano,Filene
25,Ain't it a pretty night,Floyd,English,Susannah,Soprano,Filene
24,Jewel Song,Gounod,French,Faust,Soprano,Filene
23,No word from Tom,Stravinsky,English,The Rake's Progress,Soprano,Filene
21,Embroidery Aria,Britten,English,Peter Grimes,Soprano,Filene
20,Caro nome,Verdi,Italian,Rigoletto,Soprano,Filene
17,Deh vieni non tardar ,Mozart ,Italian ,Le nozze di Figaro ,Soprano,Filene
17,Donde lieta uscì,Puccini,Italian,La bohème,Soprano,Filene
17,Je dis que rien ne m'epouvante,Bizet,French,Carmen,Soprano,Filene
17,Je suis encor tout étourdie,Massenet,French,Manon,Soprano,Filene
17,Je veux vivre,Gounod,French,Roméo et Juliette,Soprano,Filene
17,Regnava nel silencio,Donizetti,Italian,Lucia di Lammermoor,Soprano,Filene
16,Dove sono,Mozart,Italian,Le nozze di Figaro,Soprano,Filene
16,My darling Jim,Cipullo,English,Glory Denied,Soprano,Filene
15,Non mi dir,Mozart,Italian,Don Giovanni,Soprano,Filene
15,Presentation of the Rose,Strauss,German,Der Rosenkavalier,Soprano,Filene
14,Come scoglio,Mozart,Italian,Così fan tutte,Soprano,Filene
14,Dich teure Halle,Wagner,German,Tannhäuser,Soprano,Filene
13,Csárdás,"Strauss, J",German ,Die Fledermaus,Soprano,Filene
13,Mi tradì quell'alma ingrata,Mozart,Italian,Don Giovanni,Soprano,Filene
13,Tu che di gel sei cinta,Puccini,Italian,Turandot,Soprano,Filene
12,Depuis le jour,Charpentier,French,Louise,Soprano,Filene
12,"Si, mi chiamano Mimì",Puccini,Italian,La bohème,Soprano,Filene
12,Song to the Moon,Dvořák,Czech,Rusalka,Soprano,Filene
11,Chi il bel sogno,Puccini,Italian,La Rondine,Soprano,Filene
11,Durch Zärtlichkeit und Schmeicheln,Mozart,German,Die Entführung aus dem Serail,Soprano,Filene
11,Gluck das mir verblieb,Korngold,German,Die tote Stadt,Soprano,Filene
11,Quando m'en vo',Puccini,Italian,La bohème,Soprano,Filene
10,"Das war sehr gut, Mandryka",Strauss,German,Arabella,Soprano,Filene
10,"Prendi, per me sei libero",Donizetti,Italian,L'elisir d'amore,Soprano,Filene
10,Quel guardo il cavaliere,Donizetti,Italian,Don Pasquale,Soprano,Filene
10,"Robert, toi que j'aime",Meyerbeer,French ,Robert le diable,Soprano,Filene
10,Sempre libera,Verdi,Italian,La traviata,Soprano,Filene
9,"Ah, fuggi il traditor",W. A. Mozart,Italian,Don Giovanni,Soprano,Filene
9,Emily's Goodbye Aria ,Rorem,English,Our Town,Soprano,Filene
9,Glitter and Be Gay,Bernstein,English,Candide,Soprano,Filene
9,O zittre nicht,Mozart,German,Die Zauberflöte,Soprano,Filene
9,Stridono lassù,Leoncavallo,Italian,Pagliacci,Soprano,Filene
8,Ach ich liebte,Mozart,German,Die Entführung aus dem Serail,Soprano,Filene
8,Chacun le sait,Donizetti,French,La fille du régiment,Soprano,Filene
8,I want magic!,Previn,English,A Streetcar Named Desire ,Soprano,Filene
8,"Il est doux, il est bon",Massenet,French,Hérodiade,Soprano,Filene
8,Tacea la notte placida,Verdi,Italian,Il Trovatore,Soprano,Filene
7,Adieu notre petite table,Massenet,French,Manon,Soprano,Filene
7,Ah! douce enfant,Massenet,French,Cendrillon,Soprano,Filene
7,"Amour, ranime mon courage",Gounod,French,Roméo et Juliette,Soprano,Filene
